PLAYER,TEAM,GP,spotup_POSS,spotup_FREQ,spotup_PPP,spotup_PTS,spotup_FGM,spotup_FGA,spotup_FG%,spotup_EFG%,spotup_FTFREQ,spotup_TOVFREQ,spotup_SFFREQ,spotup_AND ONEFREQ,spotup_SCOREFREQ,spotup_PERCENTILE
Hamidou Diallo,DET,58,3.2,28.60%,0.83,2.6,1.1,2.9,37.30%,43.10%,5.40%,5.40%,4.90%,1.10%,37.50%,21.7
Wayne Ellington,LAL,43,2.6,43.00%,1.37,3.5,1.2,2.5,46.70%,69.60%,0.90%,2.70%,0.90%,0.00%,45.90%,97.9
Giannis Antetokounmpo,MIL,67,2.2,8.20%,1.03,2.3,0.9,1.8,48.00%,56.10%,9.50%,8.80%,10.10%,2.00%,46.60%,61.4
Nassir Little,POR,42,3.6,38.20%,1.01,3.6,1.2,3.2,38.50%,51.90%,5.30%,6.00%,4.70%,1.30%,38.00%,57.6
Javonte Green,CHI,65,2.3,37.40%,1.01,2.3,0.8,2,39.20%,51.50%,6.70%,6.70%,6.70%,0.70%,40.30%,57.9
Jrue Holiday,MIL,67,2.1,11.60%,1.06,2.2,0.8,1.8,43.30%,57.10%,5.70%,9.20%,5.00%,0.00%,42.60%,66.7
Josh Christopher,HOU,74,2.3,25.30%,0.88,2,0.7,2,36.00%,47.00%,3.60%,8.30%,2.40%,0.60%,34.90%,28.7
Precious Achiuwa,TOR,73,2.6,25.10%,0.8,2,0.7,2.3,30.80%,40.80%,4.80%,5.30%,4.80%,0.50%,32.10%,18.8
John Konchar,MEM,72,1.7,38.80%,1.21,2,0.7,1.6,47.30%,63.80%,1.70%,5.80%,1.70%,0.00%,45.50%,91.9
CJ McCollum,POR,36,3.4,16.10%,1.19,4.1,1.4,3.3,44.10%,61.00%,0.80%,3.30%,0.80%,0.00%,43.10%,89.7
Shake Milton,PHI,55,2.7,31.40%,0.97,2.6,1,2.5,38.40%,47.10%,7.40%,4.00%,7.40%,4.00%,38.90%,45.5
Buddy Hield,IND,26,4.6,25.10%,1.19,5.5,2.1,4.4,47.40%,62.70%,0.00%,5.00%,0.00%,0.00%,45.00%,90.5
Garrett Temple,NOP,59,2.8,45.90%,0.88,2.4,0.8,2.5,32.70%,47.00%,1.20%,6.70%,0.60%,0.00%,30.70%,28.1
Klay Thompson,GSW,32,4,20.20%,1.1,4.4,1.6,3.7,43.60%,58.10%,2.30%,7.00%,2.30%,0.00%,41.90%,75.4
Josh Hart,NOP,41,3.4,25.70%,1.01,3.4,1.2,3,40.00%,50.80%,6.50%,5.00%,5.80%,1.40%,41.00%,58.3
Aaron Wiggins,OKC,50,3.3,39.00%,0.84,2.8,0.9,2.9,32.60%,42.70%,7.20%,7.80%,6.00%,1.80%,33.70%,23.4
Trey Murphy III,NOP,62,2.1,42.80%,1.05,2.2,0.7,2,36.50%,53.20%,2.30%,3.00%,2.30%,0.00%,36.80%,64
Avery Bradley,LAL,62,2.4,37.00%,0.95,2.2,0.8,2.3,34.00%,48.20%,0.70%,2.70%,0.70%,0.00%,33.60%,39.7
Troy Brown Jr.,CHI,66,2.1,46.60%,0.99,2.1,0.7,2,35.10%,50.40%,2.20%,2.20%,2.20%,0.00%,35.80%,51.6
