PLAYER,TEAM,GP,pnr_handler_POSS,pnr_handler_FREQ,pnr_handler_PPP,pnr_handler_PTS,pnr_handler_FGM,pnr_handler_FGA,pnr_handler_FG%,pnr_handler_EFG%,pnr_handler_FTFREQ,pnr_handler_TOVFREQ,pnr_handler_SFFREQ,pnr_handler_ANDONEFREQ,pnr_handler_SCOREFREQ,pnr_handler_PERCENTILE
Derrick Rose,NYK,26,5,39.80%,0.75,3.8,1.6,3.8,41.00%,43.00%,5.40%,19.20%,4.60%,1.50%,35.40%,29.8
Buddy Hield,SAC,55,2.2,15.10%,0.78,1.7,0.6,1.7,34.70%,44.20%,4.90%,17.90%,4.90%,0.00%,31.70%,32.7
De'Anthony Melton,MEM,73,1.8,15.40%,0.72,1.3,0.5,1.5,34.60%,39.30%,6.00%,15.00%,4.50%,1.50%,32.30%,25.3
Joe Ingles,UTA,45,2,26.80%,1.02,2.1,0.8,1.6,48.60%,63.60%,4.40%,19.80%,3.30%,1.10%,40.70%,86.6
Trent Forrest,UTA,60,1.6,42.00%,0.97,1.5,0.6,1.1,53.70%,53.70%,13.80%,19.10%,11.70%,4.30%,47.90%,81
Ayo Dosunmu,CHI,77,1.3,14.40%,0.93,1.2,0.5,0.9,60.30%,60.30%,6.10%,26.50%,5.10%,2.00%,45.90%,73.5
Tim Hardaway Jr.,DAL,42,2.4,16.40%,0.89,2.1,0.8,2.1,36.40%,44.30%,7.00%,6.00%,7.00%,1.00%,38.00%,63.7
Harrison Barnes,SAC,77,1.3,9.20%,0.85,1.1,0.3,0.9,35.70%,40.00%,19.40%,16.50%,17.50%,3.90%,39.80%,53.3
Delon Wright,ATL,77,1.3,29.20%,0.87,1.1,0.4,1,39.50%,46.70%,9.00%,16.00%,7.00%,1.00%,38.00%,56.5
Gordon Hayward,CHA,49,2.2,14.20%,0.8,1.8,0.6,1.7,38.30%,42.00%,10.20%,16.70%,7.40%,1.90%,37.00%,37.6
Markelle Fultz,ORL,18,5.3,41.90%,0.9,4.7,2.2,4.3,50.00%,51.30%,4.20%,15.80%,4.20%,2.10%,43.20%,65.2
Payton Pritchard,BOS,71,1.4,23.20%,0.87,1.2,0.5,1.2,42.20%,49.40%,2.00%,14.30%,2.00%,1.00%,36.70%,56
Deni Avdija,WAS,82,1.2,13.50%,0.86,1,0.4,0.9,47.90%,50.70%,8.20%,19.40%,4.10%,0.00%,41.80%,54.2
Caris LeVert,CLE,19,5.5,36.60%,0.78,4.3,1.8,4.6,38.60%,39.20%,8.60%,9.50%,8.60%,1.90%,39.00%,33
Brandon Williams,POR,24,5.3,33.20%,0.65,3.4,1.2,3.6,32.60%,35.50%,13.40%,20.50%,11.80%,1.60%,31.50%,17
Jordan Nwora,MIL,62,1.6,18.80%,0.8,1.3,0.5,1.3,39.70%,46.80%,5.90%,17.80%,5.00%,1.00%,35.60%,40.5
Devin Vassell,SAS,71,1.5,12.50%,0.74,1.1,0.5,1.4,37.50%,39.10%,2.80%,9.30%,2.80%,0.90%,35.20%,28.1
Bojan Bogdanovic,UTA,69,1,6.30%,1.1,1.1,0.4,0.8,50.00%,53.80%,18.10%,11.10%,12.50%,1.40%,52.80%,93.2
Luke Kennard,LAC,70,1.2,11.50%,0.94,1.1,0.4,1,41.70%,49.30%,4.80%,9.60%,3.60%,1.20%,39.80%,75.6
Amir Coffey,LAC,69,1.3,15.50%,0.87,1.1,0.4,1.1,40.80%,45.40%,4.60%,9.20%,4.60%,1.10%,39.10%,58.3
Duane Washington Jr.,IND,48,2,19.00%,0.78,1.6,0.6,1.6,39.00%,41.60%,9.30%,13.40%,8.20%,2.10%,37.10%,33.9
Julius Randle,NYK,72,1.2,5.30%,0.85,1,0.3,0.9,35.30%,43.40%,11.40%,12.50%,9.10%,1.10%,37.50%,52.7
Trey Burke,DAL,42,2.2,36.90%,0.8,1.8,0.7,1.8,38.20%,39.50%,7.50%,10.80%,5.40%,0.00%,38.70%,37.2
Scottie Barnes,TOR,74,0.9,5.60%,1.12,1,0.4,0.7,58.00%,60.00%,13.80%,12.30%,13.80%,3.10%,55.40%,94.3
Facundo Campazzo,DEN,65,1.7,28.00%,0.65,1.1,0.3,1.1,30.40%,37.00%,10.80%,27.00%,6.30%,0.00%,29.70%,17.6
Nikola Jokic,DEN,74,0.9,3.80%,1.04,1,0.3,0.4,73.30%,83.30%,19.10%,36.80%,13.20%,0.00%,51.50%,89
Lonzo Ball,CHI,35,2.8,20.40%,0.73,2,0.8,2.1,38.40%,47.30%,2.10%,23.70%,2.10%,1.00%,29.90%,26.8
Duncan Robinson,MIA,79,0.8,7.50%,1.15,0.9,0.3,0.6,44.90%,63.30%,6.60%,14.80%,6.60%,1.60%,41.00%,94.6
Theo Maledon,OKC,51,1.7,20.70%,0.8,1.4,0.5,1.2,40.30%,46.80%,9.10%,22.70%,6.80%,2.30%,35.20%,36.9
George Hill,MIL,54,1.4,22.90%,0.87,1.3,0.4,1.1,39.00%,40.70%,14.10%,11.50%,5.10%,1.30%,42.30%,57.7
Brandon Boston Jr.,LAC,51,1.5,19.90%,0.87,1.3,0.4,1.3,33.80%,40.00%,11.70%,6.50%,9.10%,2.60%,37.70%,56.8
Landry Shamet,PHX,69,1.1,13.80%,0.86,1,0.3,0.9,38.30%,46.70%,7.80%,14.30%,7.80%,0.00%,37.70%,54.2
De'Andre Hunter,ATL,53,1.4,10.30%,0.88,1.2,0.5,1.1,43.30%,45.80%,9.50%,12.20%,9.50%,2.70%,41.90%,61
Jerami Grant,DET,47,2,10.30%,0.71,1.4,0.5,1.5,36.20%,37.00%,9.80%,18.50%,9.80%,3.30%,33.70%,23.8
Brandon Goodwin,CLE,36,2,35.60%,0.88,1.8,0.7,1.5,47.20%,52.80%,11.10%,20.80%,9.70%,5.60%,37.50%,60.1
Aaron Holiday,WAS,41,1.9,28.50%,0.83,1.5,0.7,1.5,45.20%,46.00%,3.90%,14.50%,2.60%,0.00%,40.80%,47.3
R.J. Hampton,ORL,64,2.1,22.80%,0.47,1,0.3,1.5,23.20%,24.20%,11.10%,20.70%,8.90%,2.20%,25.20%,6
Dennis Smith Jr.,POR,37,2.2,31.40%,0.74,1.6,0.7,1.7,41.90%,42.70%,10.80%,18.10%,10.80%,4.80%,36.10%,27.4
Derrick White,BOS,26,2.7,24.10%,0.86,2.3,0.7,1.8,37.50%,39.60%,18.60%,12.90%,18.60%,1.40%,41.40%,54.2
Marcus Morris Sr.,LAC,54,1.3,8.80%,0.83,1.1,0.4,1.1,40.40%,43.90%,6.90%,13.90%,2.80%,0.00%,38.90%,49.6
Elfrid Payton,PHX,51,1.9,41.10%,0.62,1.2,0.5,1.4,36.60%,37.30%,10.30%,18.60%,9.30%,2.10%,30.90%,13.4
Josh Hart,POR,13,4.7,26.00%,0.97,4.5,1.8,3.7,50.00%,57.30%,8.20%,19.70%,8.20%,6.60%,41.00%,80.4
Hamidou Diallo,DET,58,1.3,11.40%,0.81,1,0.4,1,44.80%,45.70%,8.20%,13.70%,9.60%,2.70%,39.70%,41.4
Klay Thompson,GSW,32,1.5,7.50%,1.21,1.8,0.7,1.3,48.80%,65.10%,2.10%,8.30%,2.10%,0.00%,45.80%,97.3
Malik Beasley,MIN,79,0.6,5.50%,1.16,0.7,0.3,0.6,46.70%,61.10%,4.00%,6.00%,4.00%,0.00%,46.00%,94.9
Mikal Bridges,PHX,82,0.6,5.20%,1.1,0.7,0.3,0.5,56.80%,56.80%,9.60%,9.60%,9.60%,3.80%,53.80%,92.9
Terence Davis,SAC,30,2.1,20.30%,0.88,1.9,0.6,1.8,35.20%,44.40%,7.80%,9.40%,4.70%,1.60%,35.90%,60.1
Buddy Hield,IND,26,3.3,18.00%,0.65,2.2,0.9,2.5,34.80%,40.90%,1.20%,22.10%,0.00%,0.00%,27.90%,18.2
Patty Mills,BKN,81,1.1,9.80%,0.64,0.7,0.3,0.9,30.60%,37.50%,1.10%,16.10%,1.10%,0.00%,26.40%,16.4
Malachi Flynn,TOR,44,1.5,32.50%,0.82,1.3,0.5,1.3,40.40%,44.70%,7.50%,10.40%,6.00%,3.00%,37.30%,45.1
