PLAYER,TEAM,GP,pnr_handler_POSS,pnr_handler_FREQ,pnr_handler_PPP,pnr_handler_PTS,pnr_handler_FGM,pnr_handler_FGA,pnr_handler_FG%,pnr_handler_EFG%,pnr_handler_FTFREQ,pnr_handler_TOVFREQ,pnr_handler_SFFREQ,pnr_handler_ANDONEFREQ,pnr_handler_SCOREFREQ,pnr_handler_PERCENTILE
Evan Fournier,NYK,80,2.8,20.30%,0.87,2.4,0.9,2.3,39.00%,47.60%,5.80%,12.90%,4.90%,1.80%,36.40%,55.7
Tyus Jones,MEM,73,3.2,37.90%,0.82,2.7,1.2,2.8,43.50%,44.90%,3.00%,11.40%,3.00%,1.70%,39.20%,44
Will Barton,DEN,71,3.3,21.90%,0.8,2.7,1.1,2.7,40.50%,45.00%,4.60%,16.50%,4.20%,1.30%,35.90%,38.7
Lance Stephenson,IND,40,5,48.70%,0.89,4.5,1.8,3.6,50.30%,52.40%,10.00%,20.90%,10.00%,2.00%,43.80%,64
Eric Gordon,HOU,57,3.7,29.00%,0.84,3.1,1.1,2.5,44.80%,51.70%,9.50%,24.60%,9.00%,1.90%,37.90%,50.6
Pascal Siakam,TOR,68,2.9,12.80%,0.88,2.6,1.1,2.4,45.60%,46.30%,9.50%,11.50%,9.50%,1.00%,45.00%,62.2
Andrew Wiggins,GSW,73,2.8,16.30%,0.88,2.4,1,2.2,45.10%,47.90%,8.00%,13.40%,7.50%,3.00%,41.80%,60.7
Nickeil Alexander-Walker,NOP,50,4.2,27.50%,0.8,3.3,1.3,3.2,42.40%,44.90%,7.70%,17.30%,7.20%,1.00%,38.90%,39
CJ McCollum,NOP,26,7.3,31.90%,0.84,6.1,2.4,5.9,40.50%,45.40%,7.40%,13.70%,5.80%,1.60%,37.90%,50
Ricky Rubio,CLE,34,5.9,36.90%,0.79,4.6,1.8,4.5,39.20%,43.80%,6.50%,17.90%,6.00%,0.50%,35.80%,34.8
Coby White,CHI,61,2.9,23.50%,0.89,2.6,1,2.4,43.80%,46.50%,6.80%,12.40%,6.20%,0.60%,41.80%,63.1
Malik Monk,LAL,76,2.3,17.70%,0.89,2.1,0.8,1.8,44.90%,51.40%,5.70%,17.60%,5.70%,1.70%,38.60%,62.8
Lou Williams,ATL,56,2.9,41.20%,0.94,2.8,1,2.3,43.70%,46.80%,11.60%,13.40%,8.50%,1.80%,43.30%,75.3
Terrence Ross,ORL,63,2.9,27.20%,0.83,2.4,0.9,2.3,38.10%,42.90%,8.70%,12.00%,7.10%,0.50%,38.60%,48.8
Miles Bridges,CHA,80,1.9,9.80%,1.02,1.9,0.7,1.4,50.90%,55.30%,10.80%,13.50%,9.50%,1.40%,48.00%,86
Luguentz Dort,OKC,51,3.2,18.00%,0.92,2.9,1,2.5,38.60%,45.30%,11.70%,10.50%,9.90%,0.60%,41.40%,70.2
Bogdan Bogdanovic,ATL,63,2.8,19.60%,0.83,2.3,1,2.4,39.20%,44.80%,3.90%,10.10%,3.40%,0.00%,37.40%,46.4
Bones Hyland,DEN,69,2.6,25.30%,0.82,2.1,0.7,2,36.40%,45.00%,6.70%,15.60%,4.50%,0.60%,34.60%,45.5
Gabe Vincent,MIA,68,2.7,28.80%,0.78,2.1,0.8,2,40.30%,47.10%,4.40%,20.20%,3.80%,0.50%,34.40%,32.4
Talen Horton-Tucker,LAL,60,2.6,23.00%,0.9,2.4,0.9,2,47.50%,50.40%,8.30%,16.00%,7.70%,0.00%,44.20%,67.6
Kevin Huerter,ATL,74,2.3,19.70%,0.82,1.9,0.8,1.9,41.30%,45.50%,3.50%,14.00%,3.50%,0.60%,37.20%,44.3
Desmond Bane,MEM,76,2.4,14.50%,0.77,1.9,0.8,2.1,38.60%,42.10%,3.30%,12.00%,3.30%,1.60%,35.00%,31.6
Jalen Suggs,ORL,48,4.7,29.50%,0.62,2.9,1,3.1,31.10%,34.10%,10.70%,23.10%,9.80%,1.80%,29.80%,13.1
Marcus Smart,BOS,71,2.7,20.00%,0.7,1.9,0.7,1.8,38.80%,40.70%,12.50%,22.90%,10.40%,3.10%,34.40%,22.6
Cam Thomas,BKN,67,2.3,25.20%,0.88,2,0.8,1.9,42.70%,43.50%,10.50%,11.20%,9.90%,3.30%,42.10%,62.5
Cory Joseph,DET,65,2.6,31.70%,0.8,2,0.8,1.9,42.10%,45.00%,9.60%,20.40%,6.60%,2.40%,37.70%,38.1
Ish Smith,WAS,28,5.4,51.70%,0.87,4.7,2.3,4.6,49.20%,50.00%,1.30%,12.70%,1.30%,0.70%,43.30%,58
Shake Milton,PHI,55,2.7,31.90%,0.87,2.4,1,2.3,43.50%,45.60%,8.60%,12.60%,7.30%,3.30%,41.10%,56.3
Terance Mann,LAC,81,1.6,15.50%,0.99,1.6,0.6,1.4,44.20%,48.20%,11.40%,6.10%,9.80%,3.00%,44.70%,82.1
Kyle Kuzma,WAS,66,2.4,13.00%,0.82,1.9,0.8,1.8,41.30%,43.40%,11.50%,14.70%,11.50%,3.80%,39.70%,44.6
Killian Hayes,DET,66,2.6,28.40%,0.74,1.9,0.8,1.9,42.70%,44.40%,6.40%,22.80%,5.80%,1.80%,35.70%,27.7
Jaylen Nowell,MIN,62,1.9,24.30%,1.06,2,0.7,1.6,45.40%,53.10%,11.90%,6.80%,10.20%,0.80%,48.30%,91.4
Josh Christopher,HOU,74,1.9,21.40%,0.87,1.7,0.6,1.3,46.50%,50.50%,12.60%,18.90%,8.40%,0.70%,42.70%,58.9
Keldon Johnson,SAS,75,2,12.40%,0.84,1.7,0.6,1.6,40.70%,42.80%,13.40%,12.10%,12.10%,4.70%,40.30%,50.9
Chris Duarte,IND,55,2.6,19.00%,0.86,2.3,0.8,2,41.10%,47.80%,9.00%,16.70%,8.30%,3.50%,37.50%,55.1
Saddiq Bey,DET,82,1.8,10.90%,0.84,1.5,0.5,1.3,38.20%,43.20%,11.60%,15.00%,10.90%,1.40%,38.80%,51.8
Tre Jones,SAS,69,1.9,31.80%,0.9,1.8,0.8,1.5,50.50%,50.50%,10.40%,13.40%,9.70%,2.20%,46.30%,67.3
Patrick Beverley,MIN,59,2.4,25.10%,0.83,2,0.7,1.8,42.30%,44.70%,14.00%,14.70%,10.50%,1.40%,42.70%,49.1
Norman Powell,POR,40,3.1,18.00%,0.94,2.9,0.9,2.3,38.90%,42.20%,21.00%,10.50%,17.70%,4.00%,45.20%,74.1
Eric Bledsoe,LAC,54,3.3,28.70%,0.64,2.1,0.9,2.4,39.40%,40.60%,6.10%,26.10%,6.10%,2.80%,30.60%,16.7
Dillon Brooks,MEM,33,4.2,22.60%,0.81,3.5,1.4,3.8,37.00%,39.40%,5.70%,5.00%,5.70%,1.40%,37.90%,42.6
Giannis Antetokounmpo,MIL,67,1.8,6.70%,0.92,1.7,0.6,1.3,42.00%,45.50%,19.00%,13.20%,18.20%,5.80%,43.80%,69.9
Jose Alvarado,NOP,54,2.2,33.50%,0.92,2,0.9,1.8,50.50%,51.60%,10.00%,11.70%,7.50%,0.80%,45.80%,69.2
James Harden,PHI,21,6.4,30.50%,0.82,5.2,1.5,4,36.50%,44.10%,14.90%,23.90%,14.20%,2.20%,35.80%,45.1
Ty Jerome,OKC,48,2.5,31.70%,0.89,2.3,0.9,2,43.80%,49.00%,7.40%,14.80%,7.40%,0.80%,41.00%,64.3
T.J. McConnell,IND,27,4.1,44.50%,0.98,4,1.7,3.5,48.90%,50.50%,6.40%,9.10%,6.40%,0.90%,47.30%,81.8
Furkan Korkmaz,PHI,67,2.1,25.30%,0.77,1.6,0.6,1.7,34.80%,38.30%,8.50%,10.60%,7.10%,0.70%,34.80%,31
Kentavious Caldwell-Pope,WAS,77,1.6,12.60%,0.83,1.3,0.5,1.2,46.70%,50.00%,7.30%,21.00%,7.30%,0.80%,40.30%,48.5
Spencer Dinwiddie,DAL,23,4.7,33.80%,0.94,4.4,1.4,3.4,41.80%,44.90%,17.60%,13.00%,17.60%,3.70%,44.40%,73.8
Cam Reddish,ATL,34,3.5,28.00%,0.84,2.9,1.1,2.8,38.30%,42.00%,10.90%,13.40%,10.10%,3.40%,37.80%,51.2
