PLAYER,TEAM,GP,transition_POSS,transition_FREQ,transition_PPP,transition_PTS,transition_FGM,transition_FGA,transition_FG%,transition_EFG%,transition_FTFREQ,transition_TOVFREQ,transition_SFFREQ,transition_AND ONEFREQ,transition_SCOREFREQ,transition_PERCENTILE
Elijah Hughes,POR,22,1.2,22.20%,1.04,1.2,0.5,1,43.50%,58.70%,0.00%,11.50%,0.00%,0.00%,38.50%,33.3
Justise Winslow,POR,11,2.5,19.60%,1,2.5,1,1.8,55.00%,55.00%,18.50%,14.80%,18.50%,7.40%,48.10%,25.8
Bryn Forbes,DEN,35,0.8,10.00%,0.96,0.8,0.3,0.7,36.00%,48.00%,7.10%,7.10%,7.10%,3.60%,35.70%,22.1
Marvin Bagley III,SAC,30,1.1,11.20%,0.84,0.9,0.3,0.7,40.90%,43.20%,18.80%,18.80%,18.80%,6.30%,40.60%,10.2
Anthony Gill,WAS,44,0.4,11.90%,1.44,0.6,0.2,0.3,69.20%,76.90%,27.80%,5.60%,27.80%,5.60%,66.70%,92.6
D.J. Augustin,HOU,34,0.7,12.30%,1.08,0.8,0.3,0.5,56.30%,71.90%,8.30%,25.00%,0.00%,0.00%,45.80%,42.7
Ish Smith,CHA,37,1.2,19.20%,0.59,0.7,0.3,0.9,34.30%,34.30%,4.50%,18.20%,4.50%,2.30%,29.50%,1.4
Rodney Hood,MIL,39,0.4,9.70%,1.79,0.6,0.2,0.3,69.20%,92.30%,7.10%,0.00%,7.10%,0.00%,71.40%,99.4
Juancho Hernangomez,UTA,16,1.2,21.30%,1.32,1.6,0.6,0.8,69.20%,80.80%,15.80%,15.80%,15.80%,0.00%,63.20%,82
Andre Iguodala,GSW,31,0.7,13.90%,1.14,0.8,0.3,0.5,71.40%,75.00%,9.10%,27.30%,9.10%,0.00%,54.50%,51.5
Isaiah Joe,PHI,55,0.4,11.80%,1,0.4,0.1,0.3,42.10%,52.60%,12.50%,12.50%,12.50%,4.20%,41.70%,25.8
Aaron Holiday,PHX,22,1.1,14.50%,1,1.1,0.3,0.7,43.80%,50.00%,20.80%,16.70%,16.70%,4.20%,45.80%,25.8
Goran Dragic,BKN,16,2,20.00%,0.75,1.5,0.6,1.1,50.00%,52.80%,12.50%,34.40%,12.50%,3.10%,34.40%,4.8
Kris Dunn,POR,14,2.3,22.50%,0.75,1.7,0.7,1.6,43.50%,43.50%,6.30%,21.90%,6.30%,0.00%,37.50%,4.8
Larry Nance Jr.,POR,37,0.4,5.70%,1.64,0.6,0.2,0.3,75.00%,87.50%,14.30%,7.10%,14.30%,7.10%,71.40%,98
Justin Anderson,IND,13,1.2,15.30%,1.53,1.8,0.6,1.1,57.10%,71.40%,13.30%,0.00%,13.30%,6.70%,60.00%,96.6
Brook Lopez,MIL,13,1.5,12.40%,1.21,1.8,0.7,1.5,47.40%,60.50%,0.00%,0.00%,0.00%,0.00%,47.40%,66.5
Lindell Wigginton,MIL,19,1.1,22.70%,1.15,1.2,0.3,0.7,42.90%,53.60%,35.00%,0.00%,30.00%,5.00%,55.00%,55.2
Isaiah Thomas,CHA,17,1.3,16.10%,1.05,1.4,0.4,1.1,36.80%,50.00%,9.10%,4.50%,9.10%,0.00%,40.90%,34.5
Trent Forrest,UTA,60,0.4,10.30%,1,0.4,0.2,0.3,62.50%,62.50%,13.00%,21.70%,13.00%,4.30%,52.20%,25.8
Patrick Williams,CHI,17,1.4,17.60%,0.96,1.4,0.4,0.7,58.30%,66.70%,20.80%,29.20%,20.80%,0.00%,45.80%,21.6
Brandon Goodwin,CLE,36,0.9,15.30%,0.74,0.6,0.2,0.6,38.10%,40.50%,19.40%,16.10%,19.40%,3.20%,38.70%,4.2
Jaylen Hoard,OKC,7,1.9,12.30%,1.69,3.1,1.1,1.6,72.70%,81.80%,23.10%,7.70%,23.10%,15.40%,69.20%,98.4
Trevor Ariza,LAL,24,0.8,16.10%,1.16,0.9,0.3,0.6,46.70%,63.30%,15.80%,5.30%,10.50%,0.00%,47.40%,56.3
Drew Eubanks,POR,22,0.9,7.40%,1.1,1,0.5,0.8,58.80%,61.80%,5.00%,10.00%,5.00%,0.00%,55.00%,45.9
Alex Len,SAC,39,0.5,8.50%,1.05,0.6,0.2,0.4,53.30%,53.30%,23.80%,9.50%,23.80%,4.80%,57.10%,34.9
Larry Nance Jr.,NOP,9,1.3,19.00%,1.75,2.3,1,1.1,90.00%,95.00%,8.30%,8.30%,8.30%,0.00%,83.30%,99.2
Jevon Carter,MIL,20,0.8,17.60%,1.31,1.1,0.4,0.7,57.10%,75.00%,0.00%,12.50%,0.00%,0.00%,50.00%,81.6
Braxton Key,DET,9,2.1,22.60%,1.11,2.3,1,1.4,69.20%,73.10%,10.50%,21.10%,10.50%,0.00%,57.90%,47
Mitchell Robinson,NYK,72,0.2,3.10%,1.33,0.3,0.1,0.1,80.00%,80.00%,26.70%,6.70%,20.00%,0.00%,80.00%,85.1
Vlatko Cancar,DEN,15,1.1,28.10%,1.25,1.3,0.5,0.8,66.70%,70.80%,12.50%,12.50%,12.50%,0.00%,62.50%,75.1
Josh Jackson,SAC,12,1.8,31.30%,0.95,1.7,0.5,1.1,46.20%,46.20%,28.60%,19.00%,28.60%,9.50%,47.60%,20.8
Danuel House Jr.,HOU,16,1.6,24.80%,0.8,1.3,0.4,1.1,33.30%,44.40%,8.00%,20.00%,8.00%,0.00%,32.00%,6.8
Daishen Nix,HOU,24,1.1,25.50%,0.74,0.8,0.3,0.5,50.00%,54.20%,18.50%,37.00%,18.50%,0.00%,37.00%,4
Reggie Perry,POR,9,1.4,13.80%,1.46,2.1,1,1.1,90.00%,90.00%,15.40%,15.40%,15.40%,7.70%,76.90%,94
Marquese Chriss,DAL,34,0.4,8.40%,1.36,0.6,0.2,0.3,70.00%,75.00%,21.40%,7.10%,21.40%,0.00%,71.40%,86.9
Norman Powell,LAC,5,2.8,16.30%,1.36,3.8,0.8,1.4,57.10%,71.40%,42.90%,7.10%,42.90%,0.00%,71.40%,86.9
Tony Bradley,CHI,52,0.2,7.80%,1.33,0.3,0.2,0.2,72.70%,72.70%,0.00%,8.30%,0.00%,0.00%,66.70%,85.3
Damian Jones,SAC,56,0.3,4.50%,1.12,0.3,0.1,0.2,46.20%,46.20%,29.40%,5.90%,29.40%,11.80%,52.90%,49.5
Rajon Rondo,CLE,21,0.9,12.10%,1.06,0.9,0.3,0.5,54.50%,63.60%,16.70%,22.20%,0.00%,0.00%,50.00%,36.9
Andre Drummond,PHI,49,0.4,5.10%,1.06,0.4,0.2,0.3,69.20%,69.20%,11.10%,22.20%,11.10%,5.60%,55.60%,36.9
Victor Oladipo,MIA,8,2.5,20.60%,0.95,2.4,0.9,1.8,50.00%,57.10%,10.00%,25.00%,10.00%,5.00%,40.00%,20.5
Elfrid Payton,PHX,51,0.5,11.90%,0.68,0.4,0.2,0.5,39.10%,39.10%,7.10%,14.30%,7.10%,3.60%,35.70%,2.6
Devin Cannady,ORL,5,2,19.20%,1.8,3.6,1.2,2,60.00%,90.00%,0.00%,0.00%,0.00%,0.00%,60.00%,99.6
Zach Collins,SAS,28,0.4,5.20%,1.5,0.6,0.2,0.3,71.40%,78.60%,41.70%,8.30%,25.00%,8.30%,75.00%,95.8
Alfonzo McKinnie,CHI,17,0.8,19.40%,1.29,1.1,0.4,0.8,53.80%,65.40%,7.10%,0.00%,7.10%,0.00%,57.10%,79.5
Drew Eubanks,SAS,50,0.3,5.80%,1.29,0.4,0.1,0.2,87.50%,87.50%,21.40%,35.70%,21.40%,14.30%,57.10%,79.5
Admiral Schofield,ORL,38,0.4,9.80%,1.2,0.5,0.2,0.4,50.00%,64.30%,0.00%,6.70%,0.00%,0.00%,46.70%,64.8
Taj Gibson,NYK,52,0.3,6.80%,1.2,0.3,0.1,0.3,46.20%,53.80%,13.30%,0.00%,13.30%,0.00%,53.30%,64.8
Davis Bertans,WAS,34,0.6,11.30%,0.82,0.5,0.2,0.6,36.80%,47.40%,0.00%,13.60%,0.00%,0.00%,31.80%,7.8
Brad Wanamaker,IND,22,1.1,23.30%,0.75,0.8,0.2,0.7,33.30%,33.30%,20.80%,25.00%,16.70%,8.30%,33.30%,4.8
Donte DiVincenzo,MIL,17,1.6,17.60%,0.64,1.1,0.2,1.1,22.20%,30.60%,14.30%,21.40%,3.60%,0.00%,28.60%,2
Olivier Sarr,OKC,22,0.6,10.30%,1.21,0.8,0.2,0.5,50.00%,65.00%,14.30%,14.30%,7.10%,0.00%,50.00%,68.3
Georgios Kalaitzakis,OKC,4,3.8,18.80%,1.13,4.3,1.5,2.5,60.00%,60.00%,26.70%,13.30%,26.70%,6.70%,53.30%,50.9
Daniel Theis,HOU,26,0.6,7.00%,1.06,0.7,0.3,0.5,61.50%,65.40%,0.00%,18.80%,0.00%,0.00%,50.00%,38.4
Jeremy Lamb,SAC,17,1.1,12.90%,0.94,1,0.3,0.9,33.30%,36.70%,22.20%,0.00%,11.10%,5.60%,44.40%,19.6
DeMarcus Cousins,DEN,31,0.6,6.00%,0.9,0.5,0.1,0.4,36.40%,45.50%,21.10%,26.30%,21.10%,5.30%,36.80%,14.4
Keljin Blevins,POR,31,0.9,21.80%,0.59,0.5,0.2,0.7,26.10%,34.80%,3.40%,17.20%,0.00%,0.00%,24.10%,1.2
Cody Zeller,POR,27,0.4,8.40%,1.46,0.6,0.2,0.3,66.70%,66.70%,18.20%,0.00%,18.20%,0.00%,72.70%,93.5
Frank Kaminsky,PHX,9,1.4,16.50%,1.23,1.8,0.7,1.3,50.00%,58.30%,7.70%,0.00%,7.70%,0.00%,53.80%,71.1
DeMarcus Cousins,MIL,17,0.8,9.50%,1.14,0.9,0.4,0.6,60.00%,60.00%,28.60%,21.40%,28.60%,21.40%,50.00%,52.2
Jalen Smith,PHX,29,0.5,8.20%,1.07,0.6,0.2,0.4,41.70%,45.80%,33.30%,0.00%,20.00%,13.30%,46.70%,39.5
Ish Smith,WAS,28,0.7,6.60%,0.84,0.6,0.2,0.5,46.20%,53.80%,5.30%,26.30%,0.00%,0.00%,36.80%,9.7
Tomas Satoransky,NOP,32,0.6,13.60%,0.84,0.5,0.2,0.3,50.00%,50.00%,26.30%,26.30%,26.30%,5.30%,47.40%,9.7
DeAndre Jordan,LAL,32,0.3,8.90%,1.36,0.5,0.2,0.3,77.80%,77.80%,9.10%,9.10%,9.10%,0.00%,72.70%,88.5
Moses Brown,CLE,14,0.8,13.80%,1.36,1.1,0.4,0.5,71.40%,71.40%,36.40%,0.00%,36.40%,0.00%,81.80%,88.5
Bismack Biyombo,PHX,36,0.3,5.90%,1.25,0.4,0.2,0.3,70.00%,70.00%,8.30%,8.30%,8.30%,0.00%,66.70%,75.1
Tristan Thompson,SAC,30,0.4,6.30%,1.15,0.5,0.2,0.2,83.30%,83.30%,30.80%,23.10%,30.80%,0.00%,69.20%,55.5
Javonte Smart,MIL,13,1.2,27.30%,1,1.2,0.5,1,46.20%,50.00%,6.70%,6.70%,6.70%,0.00%,46.70%,25.8
Gary Clark,NOP,37,0.5,16.20%,0.88,0.4,0.1,0.4,35.70%,53.60%,0.00%,17.60%,0.00%,0.00%,29.40%,13.3
KZ Okpala,MIA,21,0.6,16.70%,1.08,0.7,0.2,0.4,44.40%,44.40%,23.10%,7.70%,23.10%,0.00%,53.80%,41.5
Dwight Howard,LAL,60,0.2,3.90%,1.08,0.2,0.1,0.1,50.00%,50.00%,30.80%,15.40%,30.80%,7.70%,53.80%,41.5
Rajon Rondo,LAL,18,0.8,14.20%,0.93,0.8,0.3,0.7,41.70%,58.30%,0.00%,20.00%,0.00%,0.00%,33.30%,18.6
Tomas Satoransky,WAS,22,0.8,15.30%,0.78,0.6,0.3,0.6,53.80%,53.80%,0.00%,27.80%,0.00%,0.00%,38.90%,6
Jamorko Pickett,DET,13,0.8,17.90%,1.3,1,0.3,0.6,50.00%,75.00%,10.00%,10.00%,10.00%,0.00%,50.00%,80.4
Wenyen Gabriel,LAL,19,0.6,8.70%,1.18,0.7,0.2,0.4,57.10%,64.30%,27.30%,9.10%,27.30%,0.00%,54.50%,61
Daniel Theis,BOS,21,0.6,8.60%,1.08,0.6,0.3,0.5,54.50%,59.10%,0.00%,8.30%,0.00%,0.00%,50.00%,42.7
Matt Thomas,CHI,40,0.5,12.00%,0.72,0.3,0.1,0.4,13.30%,20.00%,16.70%,0.00%,0.00%,0.00%,27.80%,3.2
Xavier Moon,LAC,10,1.2,20.70%,1,1.2,0.5,0.9,55.60%,55.60%,8.30%,16.70%,8.30%,0.00%,50.00%,25.8
Serge Ibaka,MIL,19,0.6,10.20%,0.92,0.6,0.3,0.6,45.50%,50.00%,0.00%,8.30%,0.00%,0.00%,41.70%,16.9
Hassani Gravett,ORL,8,1.5,25.00%,0.92,1.4,0.4,1.1,33.30%,50.00%,8.30%,16.70%,8.30%,0.00%,33.30%,16.9
Semi Ojeleye,MIL,20,0.7,17.30%,0.79,0.6,0.2,0.6,25.00%,37.50%,7.10%,7.10%,7.10%,0.00%,28.60%,6.2
Killian Tillie,MEM,36,0.4,11.10%,0.69,0.3,0.1,0.4,30.80%,30.80%,12.50%,6.30%,12.50%,0.00%,37.50%,2.8
Chris Chiozza,GSW,34,0.6,16.80%,0.58,0.3,0.1,0.4,28.60%,35.70%,5.30%,26.30%,5.30%,5.30%,21.10%,1
P.J. Dozier,DEN,18,1.2,17.60%,0.52,0.6,0.2,0.8,20.00%,23.30%,9.50%,19.00%,9.50%,0.00%,23.80%,0.8
Malcolm Hill,CHI,16,0.6,19.60%,1,0.6,0.3,0.6,44.40%,50.00%,10.00%,0.00%,10.00%,0.00%,50.00%,25.8
Justin Robinson,MIL,17,0.6,16.20%,0.82,0.5,0.2,0.6,40.00%,45.00%,0.00%,9.10%,0.00%,0.00%,36.40%,7.8
Abdel Nader,PHX,14,0.8,21.60%,0.82,0.6,0.2,0.6,33.30%,33.30%,18.20%,0.00%,18.20%,0.00%,45.50%,7.8
Nickeil Alexander-Walker,UTA,14,0.9,20.00%,0.67,0.6,0.1,0.8,18.20%,18.20%,25.00%,0.00%,25.00%,16.70%,25.00%,2.4
Tony Snell,POR,38,0.3,11.90%,0.62,0.2,0.1,0.3,33.30%,33.30%,0.00%,7.70%,0.00%,0.00%,30.80%,1.8
Armoni Brooks,TOR,13,0.9,27.90%,0.5,0.5,0.2,0.8,18.20%,27.30%,0.00%,8.30%,0.00%,0.00%,16.70%,0.6
Isaiah Thomas,LAL,4,3.3,26.50%,0.46,1.5,0.3,2.5,10.00%,15.00%,15.40%,7.70%,15.40%,0.00%,23.10%,0.4
Mychal Mulder,ORL,15,0.7,14.50%,0.46,0.3,0.1,0.7,20.00%,25.00%,0.00%,9.10%,0.00%,0.00%,18.20%,0.2
