PLAYER,TEAM,GP,transition_POSS,transition_FREQ,transition_PPP,transition_PTS,transition_FGM,transition_FGA,transition_FG%,transition_EFG%,transition_FTFREQ,transition_TOVFREQ,transition_SFFREQ,transition_AND ONEFREQ,transition_SCOREFREQ,transition_PERCENTILE
Luke Kennard,LAC,70,1.7,16.70%,1.33,2.3,0.8,1.6,48.60%,70.20%,2.50%,6.70%,3.30%,0.80%,45.80%,85.1
Kyle Lowry,MIA,63,2.5,18.10%,1.01,2.5,0.9,1.7,52.90%,63.90%,12.70%,25.30%,11.40%,3.80%,43.70%,29.3
Patty Mills,BKN,81,1.7,15.60%,1.13,1.9,0.7,1.5,46.80%,60.10%,4.30%,7.20%,2.90%,0.70%,45.30%,50.7
James Harden,BKN,44,3.9,16.30%,0.91,3.6,1.2,2.5,45.50%,47.80%,17.40%,20.90%,15.10%,4.10%,43.00%,16
Jaxson Hayes,NOP,70,1.4,18.80%,1.56,2.2,0.8,1.1,73.40%,74.70%,33.00%,2.00%,33.00%,14.00%,75.00%,97.2
Norman Powell,POR,40,3.5,20.30%,1.11,3.9,1.3,2.6,49.50%,56.70%,17.90%,9.30%,17.10%,2.90%,52.10%,49
Caleb Martin,MIA,60,2.1,24.70%,1.23,2.6,1,1.7,59.40%,63.40%,13.60%,7.20%,12.00%,1.60%,60.00%,71.3
De'Andre Hunter,ATL,53,2.5,18.40%,1.17,2.9,1.1,2,53.30%,58.60%,16.70%,9.10%,13.60%,5.30%,53.80%,57.2
Cade Cunningham,DET,64,3,14.50%,0.79,2.4,1,2,47.30%,51.50%,6.20%,26.30%,3.60%,0.00%,37.60%,6.6
Hamidou Diallo,DET,58,2.2,19.80%,1.21,2.6,1.1,1.7,61.40%,61.90%,21.30%,5.50%,22.00%,7.10%,62.20%,65.9
Jeff Green,DEN,75,1.5,16.70%,1.33,2,0.7,1.2,64.40%,66.10%,22.80%,7.90%,21.90%,7.00%,64.90%,83.6
Kenyon Martin Jr.,HOU,79,1.5,18.50%,1.28,1.9,0.7,1.1,66.70%,68.40%,22.20%,7.70%,22.20%,4.30%,67.50%,79.2
Devonte' Graham,NOP,76,1.8,14.40%,1.07,2,0.7,1.6,45.00%,59.20%,5.00%,11.40%,3.60%,2.10%,41.40%,40.6
Jalen Brunson,DAL,79,1.7,11.30%,1.09,1.9,0.7,1.4,53.60%,59.50%,10.20%,13.10%,8.80%,3.60%,48.90%,43.9
Josh Giddey,OKC,54,2.6,16.30%,1.04,2.8,1.2,2,57.30%,61.80%,7.00%,16.80%,4.20%,0.70%,49.70%,34.1
Immanuel Quickley,NYK,78,1.8,15.30%,1.07,1.9,0.6,1.3,46.10%,56.40%,13.80%,12.30%,12.30%,0.70%,47.10%,41.1
CJ McCollum,NOP,26,4.2,18.50%,1.33,5.6,2.1,3.7,57.90%,67.40%,15.50%,4.50%,13.60%,6.40%,58.20%,84
Josh Christopher,HOU,74,2.1,22.90%,0.95,2,0.8,1.4,60.00%,63.50%,8.50%,26.10%,9.20%,1.30%,46.40%,21.2
Darius Bazley,OKC,69,2.1,17.50%,1.02,2.1,0.9,1.7,51.80%,53.10%,14.10%,7.70%,14.10%,2.80%,51.40%,30.9
Taurean Prince,MIN,69,1.9,27.30%,1.12,2.1,0.8,1.4,54.20%,62.50%,16.30%,15.50%,16.30%,6.20%,49.60%,49.3
Kevin Love,CLE,74,1.5,12.10%,1.25,1.9,0.6,1.4,45.20%,64.40%,3.50%,5.30%,3.50%,0.00%,44.70%,73.9
Christian Wood,HOU,68,2.2,12.80%,0.96,2.1,0.8,1.5,52.00%,57.40%,16.20%,17.60%,16.20%,3.40%,46.60%,21.8
Precious Achiuwa,TOR,73,1.9,18.60%,1.01,1.9,0.8,1.4,55.90%,61.80%,10.10%,19.40%,10.80%,3.60%,46.80%,29.9
R.J. Hampton,ORL,64,2.2,23.80%,1,2.2,0.8,1.6,50.50%,55.20%,15.60%,12.80%,14.90%,2.80%,48.20%,25.8
Coby White,CHI,61,2,16.20%,1.15,2.3,0.8,1.6,50.00%,60.40%,12.30%,10.70%,11.50%,1.60%,50.00%,54.6
Talen Horton-Tucker,LAL,60,2.1,18.90%,1.09,2.3,0.8,1.6,52.60%,57.90%,14.10%,13.30%,14.10%,1.60%,51.60%,45.3
Ben McLemore,POR,64,1.6,16.50%,1.33,2.2,0.7,1.4,52.80%,69.10%,8.70%,7.70%,8.70%,1.90%,51.90%,83.8
Corey Kispert,WAS,77,1.4,18.20%,1.29,1.8,0.6,1.2,55.60%,62.80%,15.00%,2.80%,15.00%,1.90%,59.80%,80
Eric Gordon,HOU,57,1.8,14.00%,1.33,2.4,0.8,1.5,54.10%,72.90%,7.80%,9.80%,6.90%,0.00%,52.00%,85.1
Pat Connaughton,MIL,65,1.6,19.20%,1.27,2.1,0.8,1.6,48.50%,64.60%,1.90%,1.90%,1.90%,0.90%,48.10%,77.8
Javonte Green,CHI,65,1.4,22.60%,1.49,2.1,0.8,1,77.90%,80.90%,16.70%,11.10%,16.70%,3.30%,72.20%,94.6
Reggie Bullock,DAL,68,1.7,20.90%,1.18,2,0.7,1.6,43.90%,59.80%,3.50%,3.50%,3.50%,0.90%,43.90%,59.2
Wendell Carter Jr.,ORL,62,1.8,12.30%,1.21,2.1,0.8,1.6,52.60%,62.90%,8.20%,6.40%,7.30%,2.70%,51.80%,66.3
Marcus Smart,BOS,71,2,15.10%,0.92,1.9,0.7,1.3,52.70%,58.80%,13.10%,27.60%,12.40%,3.40%,42.10%,17.6
Kyrie Irving,BKN,29,3.8,14.90%,1.21,4.6,1.6,3.1,50.60%,62.90%,11.90%,11.00%,10.10%,4.60%,48.60%,66.7
Jarred Vanderbilt,MIN,74,1.3,20.40%,1.32,1.8,0.8,1,76.70%,76.70%,15.20%,14.10%,12.10%,3.00%,68.70%,83.4
Dillon Brooks,MEM,33,3.9,20.60%,1.02,4,1.5,3.1,47.60%,52.90%,10.90%,10.20%,10.20%,1.60%,46.90%,31.3
P.J. Washington,CHA,65,1.6,16.30%,1.23,2,0.8,1.4,56.20%,69.10%,5.70%,11.30%,5.70%,0.90%,51.90%,70.1
Davion Mitchell,SAC,75,2,14.80%,0.88,1.7,0.7,1.6,45.80%,49.60%,7.50%,12.20%,4.80%,1.40%,42.90%,13.6
Bones Hyland,DEN,69,1.9,18.20%,1,1.9,0.6,1.3,44.60%,53.80%,15.50%,15.50%,12.40%,2.30%,43.40%,25.8
Tyrese Haliburton,SAC,51,2.1,14.50%,1.2,2.5,0.9,1.6,59.30%,71.60%,8.40%,18.70%,6.50%,2.80%,50.50%,63.5
Oshae Brissett,IND,67,1.6,17.40%,1.15,1.9,0.6,1.3,47.20%,53.90%,20.00%,4.50%,18.20%,5.50%,52.70%,53.2
Bradley Beal,WAS,40,2.8,11.20%,1.14,3.1,1.2,2.2,53.90%,58.40%,11.70%,10.80%,11.70%,2.70%,52.30%,51.2
Anthony Davis,LAL,40,2.5,11.40%,1.25,3.1,1.4,1.9,72.00%,72.70%,14.00%,12.00%,13.00%,2.00%,64.00%,75.1
Seth Curry,PHI,45,2,14.40%,1.36,2.8,1,1.8,54.30%,71.00%,6.60%,7.70%,6.60%,3.30%,51.60%,88
Gary Payton II,GSW,71,1.4,24.10%,1.25,1.7,0.8,1.1,69.20%,70.50%,12.10%,10.10%,12.10%,3.00%,63.60%,75.6
