Player,Age,zero,one,two,three,four,five,Signed,Guaranteed,Team 
Desmond Bane,24,"$2,033,160","$2,130,240","$3,845,083",,,,1st Round Pick,"$4,163,400",Grizzlies
Santi Aldama,21,"$1,994,520","$2,094,240","$2,194,200","$3,960,531",,,1st Round Pick,"$4,088,760",Grizzlies
Killian Tillie,24,"$1,901,625","$1,901,625",,,,,Room Exception,"$3,803,250",Grizzlies
Xavier Tillman Sr.,23,"$1,517,981","$1,782,621","$1,930,681",,,,MLE,"$3,300,602",Grizzlies
Yves Pons,23,,,,,,,Two-Way Contract,,Grizzlies
Tyrell Terry,21,,,,,,,Two-Way Contract,"$85,578",Grizzlies
Sam Merrill,26,"$1,517,981",,,,,,,"$1,517,981",Grizzlies
Russell Westbrook,33,"$44,211,146","$47,063,478",,,,,Bird Rights,"$91,274,624",Lakers
LeBron James,37,"$41,180,544","$44,474,988",,,,,Bird,"$85,655,532",Lakers
Anthony Davis,29,"$35,361,360","$37,980,720","$40,600,080","$43,219,440",,,Bird,"$113,942,160",Lakers
Talen Horton-Tucker,21,"$9,500,000","$10,260,000","$11,020,000",,,,Early Bird,"$19,760,000",Lakers
Kendrick Nunn,26,"$5,000,000","$5,250,000",,,,,Mini MLE,"$10,250,000",Lakers
Dwight Howard,36,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Lakers
Carmelo Anthony,38,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Lakers
Wayne Ellington,34,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Lakers
Avery Bradley,31,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Lakers
Kent Bazemore,33,"$2,401,537",,,,,,Minimum Salary,"$2,401,537",Lakers
Malik Monk,24,"$1,789,256",,,,,,Minimum Salary,"$1,789,256",Lakers
Austin Reaves,24,"$925,258",,,,,,Minimum Salary,"$925,258",Lakers
Stanley Johnson,26,"$888,616","$2,351,521",,,,,Minimum Salary,"$3,600,386",Lakers
D.J. Augustin,34,"$622,467",,,,,,Minimum Salary,"$622,467",Lakers
