Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Stl/100,Stl%,Tov/100
Portland Trail Blazers,Anfernee Simons,Vet,-1,0.2,1.1,-2.1,-0.8,1.9,-2.8,24.7,45.10%,14,36.50%,57.20%,4.3,83.60%,19.70%,27.20%,4.7,6.6,23.20%,0.2,0.30%,1,0.90%,3.4
Milwaukee Bucks,Serge Ibaka,Vet,-1.1,-2.4,-1.6,0.5,-0.7,-1.7,0.9,17.7,53.30%,5.7,35.70%,30.70%,3.3,74.00%,19.20%,19.30%,14.6,2.1,6.50%,2,2.10%,0.8,0.70%,2.2
Houston Rockets,John Wall,Vet,-1.1,-1.5,-1,-0.1,-0.2,-0.1,-0.1,25.5,44.50%,9,30.50%,35.10%,6.1,74.10%,27.60%,27.10%,5.3,8.8,27.70%,1,1.10%,1.7,1.60%,3.7
Detroit Pistons,Cade Cunningham,Rookie,-1.1,-0.1,-0.3,-0.7,-1.5,-0.5,-0.9,24.8,48.50%,6.8,31.10%,28.10%,5.9,82.10%,25.50%,28.70%,7.8,8.2,29.80%,1.1,1.20%,1.7,1.70%,5.4
New York Knicks,Ryan Arcidiacono,Vet,-1.1,0,-1.2,0.1,-0.8,-0.9,0.2,10.5,48.90%,7,33.70%,69.80%,2,72.50%,19.80%,11.50%,6.5,4.8,15.40%,0.2,0.20%,1.3,1.30%,1.3
Orlando Magic,Gary Harris,Vet,-1.1,0.5,-1.1,0,-0.5,0,-0.6,15.7,45.20%,9.7,34.80%,63.50%,3.1,79.80%,20.70%,16.20%,4.4,2.8,8.30%,0.4,0.40%,1.7,1.70%,1.7
Sacramento Kings,Trey Lyles,Vet,-1.1,0.8,-0.5,-0.6,-0.2,0.4,-0.6,16.7,54.80%,6,33.50%,35.90%,6.7,77.80%,40.50%,19.30%,12.5,2.6,8.20%,0.8,1.00%,0.9,1.00%,2
Detroit Pistons,Luka Garza,Rookie,-1.1,2.4,-0.2,-0.8,-1.2,-0.2,-1,19.8,50.30%,7.2,29.80%,36.50%,7.9,64.30%,42.50%,21.70%,11.8,2.7,8.30%,1.1,1.20%,1.1,1.10%,2.7
Phoenix Suns,Aaron Holiday,Vet,-1.1,-0.6,-1,-0.2,-1,-0.9,-0.1,18.6,43.70%,6.4,34.00%,36.50%,4.8,80.50%,24.70%,20.10%,6.2,9,25.10%,0.4,0.40%,1.9,1.90%,3.6
Atlanta Hawks,Gorgui Dieng,Vet,-1.1,-0.8,-1.3,0.1,1.5,0.4,1.1,17.3,52.00%,12.2,33.40%,69.00%,4.6,76.10%,25.80%,18.40%,13.9,3.8,11.80%,1.7,2.10%,1.8,1.80%,2.3
Detroit Pistons,Isaiah Livers,Rookie,-1.1,0.9,-1.5,0.3,-1.1,-1.5,0.4,11.6,50.10%,8.2,35.10%,69.50%,2.2,77.00%,19.50%,12.50%,7.7,2.7,7.10%,0.8,0.90%,1.6,1.50%,1.6
Cleveland Cavaliers,Evan Mobley,Rookie,-1.1,0.9,-1.3,0.1,-1.7,-1.4,-0.2,17.9,54.00%,2.4,24.90%,12.70%,6.3,65.40%,36.10%,20.90%,12.6,3.5,11.10%,2.4,2.70%,1.1,1.20%,2.9
Chicago Bulls,Matt Thomas,Vet,-1.2,1,-0.3,-0.9,-1,-0.1,-0.8,15.1,46.70%,10.1,34.80%,70.00%,2.5,77.10%,17.80%,14.70%,5.6,2.2,6.90%,0.3,0.40%,0.9,0.90%,1.5
Houston Rockets,Trevelin Queen,Rookie,-1.2,0.8,-0.8,-0.4,-1.2,-0.7,-0.4,16.8,48.90%,10.5,29.60%,56.20%,4,74.00%,26.30%,18.00%,8.6,3.1,10.40%,0.8,0.90%,1.6,1.70%,2.8
Denver Nuggets,Davon Reed,Vet,-1.2,1.5,-1.1,-0.1,-1.1,-1.1,0,12.1,53.10%,6.6,34.40%,53.10%,2,69.70%,16.90%,12.40%,7.4,3.5,11.50%,0.6,0.70%,1.6,1.60%,1.6
Detroit Pistons,Rodney McGruder,Vet,-1.2,0.3,-1,-0.2,-1.9,-0.9,-1,14.9,50.10%,10.5,34.90%,64.80%,2.2,71.50%,19.30%,15.20%,7.1,2.9,8.90%,0.5,0.60%,1.3,1.30%,1.5
Portland Trail Blazers,Trendon Watford,Rookie,-1.2,1.3,-1.2,0,-0.3,-0.8,0.6,16.3,53.60%,3.1,27.80%,16.00%,5.6,72.00%,39.20%,19.20%,11.2,4.3,15.20%,1.3,1.50%,1.4,1.40%,2.9
San Antonio Spurs,Jock Landale,Rookie,-1.2,2.4,-0.5,-0.7,-1.1,-0.5,-0.6,15.7,55.60%,7.3,31.00%,45.30%,3.6,75.70%,23.40%,17.20%,11.8,2.8,8.70%,1.2,1.50%,1.1,0.90%,2.2
Indiana Pacers,Terry Taylor,Rookie,-1.2,0.9,0,-1.2,-0.9,0.1,-1,14.1,59.70%,3.4,31.00%,22.90%,3.5,72.30%,27.70%,15.70%,9.7,2.6,7.30%,0.6,0.70%,1.2,1.20%,1.7
Sacramento Kings,Harrison Barnes,Vet,-1.2,-1.4,0.1,-1.3,0.1,1.2,-1.1,14.9,52.40%,6.9,36.20%,45.20%,7.1,80.00%,45.50%,17.30%,7.7,3,9.20%,0.4,0.40%,0.9,0.90%,2
Miami Heat,Omer Yurtseven,Sophomore,-1.2,2,-1.5,0.3,-1,-1.6,0.5,18.2,53.40%,1.9,24.50%,8.90%,5.1,61.10%,28.50%,20.20%,18.9,2.9,9.70%,1.4,1.60%,1.1,1.10%,2.5
New York Knicks,Quentin Grimes,Rookie,-1.2,0.9,-1.2,0,-1.2,-1.1,-0.1,14.8,46.20%,12,33.80%,80.00%,2.2,72.60%,19.90%,15.70%,6.3,2.8,9.20%,0.7,0.80%,1.7,1.80%,1.7
Charlotte Hornets,Scottie Lewis,Rookie,-1.2,1,-1.4,0.2,-1.2,-1.4,0.2,15.3,49.40%,6.2,26.30%,40.50%,4.7,70.80%,28.40%,17.00%,7.6,4.1,12.40%,0.8,0.80%,1.7,1.70%,2.5
Indiana Pacers,Oshae Brissett,Vet,-1.2,-1.1,-0.5,-0.7,-1.1,-0.7,-0.3,17.4,49.20%,9.2,34.50%,50.30%,5.6,70.50%,33.70%,19.30%,11,2.6,7.60%,0.9,1.00%,1.3,1.30%,1.8
Denver Nuggets,Facundo Campazzo,Sophomore,-1.2,-1,-1.3,0.1,0.1,-0.6,0.7,11.9,44.40%,7.9,31.70%,70.10%,3.9,75.50%,27.80%,14.60%,5.5,9.3,26.10%,0.7,0.80%,2.7,2.70%,2.9
Brooklyn Nets,LaMarcus Aldridge,Vet,-1.2,-0.1,-1,-0.3,-0.4,-0.7,0.3,20.1,51.70%,2.2,34.20%,11.60%,5.9,79.20%,26.70%,22.00%,12.2,2,6.60%,2.2,2.40%,0.8,0.80%,2
Brooklyn Nets,Blake Griffin,Vet,-1.2,-1.8,-1.1,-0.1,-0.3,-0.3,0,15.3,52.80%,8.1,31.30%,53.20%,4.9,72.10%,30.40%,16.80%,11.5,5.1,15.20%,0.8,0.90%,1.3,1.30%,2.3
Dallas Mavericks,Sterling Brown,Vet,-1.3,-0.3,-1.5,0.2,-1.7,-1.6,-0.1,12.6,47.00%,6.8,34.50%,54.50%,2.6,77.10%,15.10%,13.70%,10.8,2.4,7.80%,0.6,0.60%,1.3,1.30%,1.9
Washington Wizards,Corey Kispert,Rookie,-1.3,0.8,-0.5,-0.8,-1.5,-0.6,-0.9,14.2,58.10%,9.8,34.50%,67.50%,1.8,82.10%,15.40%,14.10%,5.8,2.3,6.00%,0.6,0.70%,1,1.10%,1.2
Boston Celtics,Sam Hauser,Rookie,-1.3,0.9,-0.5,-0.8,-1.2,-0.5,-0.7,18.7,50.70%,12,32.10%,75.90%,2.7,71.30%,21.60%,15.70%,9.2,2.6,7.40%,0.7,0.90%,1.2,1.10%,1.5
New York Knicks,Cam Reddish,Vet,-1.3,-0.5,-1,-0.3,0.4,-0.2,0.6,16.8,47.00%,7.9,33.10%,48.40%,5.2,82.60%,28.80%,18.70%,5.6,2.6,8.60%,0.8,0.80%,2,2.10%,2.4
Los Angeles Clippers,Amir Coffey,Vet,-1.3,0.4,-0.4,-0.8,-1.3,-0.3,-1,16.3,52.20%,8.9,34.60%,52.20%,4.6,78.10%,29.50%,17.60%,6,3.6,11.40%,0.5,0.60%,1.2,1.20%,1.9
Dallas Mavericks,Theo Pinson,Vet,-1.3,1.1,-1,-0.3,-0.8,-0.7,-0.1,14.2,46.30%,9.9,31.80%,71.20%,3.5,82.20%,25.40%,17.10%,7.1,4.8,15.00%,0.6,0.70%,1.6,1.60%,2.7
Atlanta Hawks,Skylar Mays,Sophomore,-1.3,-1,-0.9,-0.4,-1.2,-0.9,-0.3,14.5,55.00%,4.2,30.90%,30.60%,3.9,77.90%,23.80%,15.20%,6.5,4.3,12.80%,0.4,0.40%,1.9,1.90%,2.6
Washington Wizards,Deni Avdija,Sophomore,-1.3,0.6,-1,-0.3,-2.5,-1.6,-0.8,16.4,50.60%,7.8,32.60%,46.10%,3.5,73.50%,24.50%,18.20%,10.2,4.4,13.10%,0.9,1.00%,1.3,1.30%,2.8
Denver Nuggets,JaMychal Green,Vet,-1.3,-1.2,-1.1,-0.2,-0.6,-0.8,0.2,12.6,57.00%,4.1,33.00%,29.50%,3.9,81.90%,28.90%,14.40%,12.9,2.4,7.00%,1,1.20%,1.3,1.30%,2
Utah Jazz,Trent Forrest,Sophomore,-1.3,0.6,-0.6,-0.7,-1.1,-0.4,-0.6,11.9,51.10%,2.7,27.80%,17.60%,3.6,76.40%,28.70%,13.90%,6.7,7.1,19.20%,0.6,0.60%,1.8,1.80%,3.3
Utah Jazz,Eric Paschall,Vet,-1.3,1.1,0,-1.3,-0.8,0.3,-1.1,17.3,55.70%,6.5,32.70%,38.50%,7,71.10%,36.10%,19.20%,8.2,2.4,7.10%,0.4,0.50%,0.9,0.90%,2.2
Houston Rockets,Kenyon Martin Jr.,Sophomore,-1.3,-0.7,-0.6,-0.7,-0.6,-0.6,0,13.7,59.50%,6.5,32.70%,43.50%,3.4,65.20%,26.20%,15.40%,8.5,2.4,6.90%,1.2,1.40%,1,1.10%,1.4
Boston Celtics,Aaron Nesmith,Sophomore,-1.3,0.8,-1,-0.4,-1.2,-0.9,-0.3,16,53.20%,9.8,32.10%,61.90%,3.4,77.20%,22.40%,18.30%,8.3,2.2,6.40%,0.5,0.60%,1.5,1.60%,2.2
Oklahoma City Thunder,Ty Jerome,Vet,-1.4,0.2,-0.8,-0.5,-2,-0.8,-1.2,18.3,45.20%,11.4,32.30%,59.20%,3.2,77.80%,18.80%,18.80%,5.2,7.3,24.20%,0.5,0.50%,1.5,1.60%,2.7
Denver Nuggets,Bryn Forbes,Vet,-1.4,-0.2,0,-1.4,-1.8,-0.2,-1.6,16.5,47.90%,11.4,38.10%,68.40%,2.9,84.60%,17.20%,16.70%,3.9,2.9,7.80%,0.3,0.30%,0.9,0.90%,1.5
Golden State Warriors,Moses Moody,Rookie,-1.4,1.1,-0.6,-0.8,-1.1,-0.5,-0.6,15.6,49.80%,8.9,32.40%,63.40%,4,73.10%,23.30%,17.40%,6.6,2.2,6.40%,0.7,0.90%,1.1,1.10%,1.5
Indiana Pacers,Chris Duarte,Rookie,-1.4,0.2,-0.8,-0.6,-1.2,-0.7,-0.5,19.1,47.70%,8,34.60%,41.50%,4.5,78.40%,23.00%,20.20%,7.2,3.5,11.50%,0.4,0.50%,1.7,1.70%,2.8
Denver Nuggets,Vlatko Cancar,Vet,-1.4,0.3,-1.1,-0.2,-1.2,-1,-0.2,11.8,53.70%,4.5,28.60%,39.60%,4.3,66.30%,29.20%,15.20%,10.3,3.5,10.50%,0.8,0.90%,1.3,1.20%,2.6
Washington Wizards,Kentavious Caldwell-Pope,Vet,-1.4,-1.7,-0.4,-1,0,0,0.1,18.8,47.40%,9.2,37.10%,48.00%,4.3,83.30%,22.70%,20.30%,5.4,2.9,9.20%,0.5,0.60%,1.6,1.60%,1.9
